IP;United_States_West;United_States_East;United_Kingdom;Australia;France;South_Korea;Japan;Spain;Italy;Brazil;Canada_West;Canada_East;Germany_West;Germany_East;Poland;Russian;Sweden;Turkey
52.223.227.44;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
99.181.97.147;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.220;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.122;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.236;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.17;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.226.146;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.156;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.117;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.232;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52.223.226.201;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.132;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.10;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
52.223.226.72;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.164;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.211;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.120;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.169;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.241;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.37;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.96.111;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0
192.16.65.185;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
192.16.65.114;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.244.174;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.22;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.8;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52.223.227.169;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.244.138;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.135;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.225.206;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52.223.226.110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.94;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.246.7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.246.242;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.106;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.214;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.125;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.208;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.96.163;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
52.223.244.150;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.96.112;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
192.16.65.163;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.31;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52.223.247.236;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0
99.181.97.99;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
192.16.65.160;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.228.25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.241;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52.223.244.244;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.87;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99.181.97.100;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.77;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.71;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.244.80;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.30;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
52.223.226.139;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.226.107;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52.223.227.21;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
192.16.65.174;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
